Cycle,Chg_Spec_mAhg,DChg_Spec_mAhg,Chg_Cap_Ah,DChg_Cap_Ah,Chg_Energy_Wh,DChg_Energy_Wh,CE,IR_proxy,HF_CHG_SPEC_HIGH,HF_DCHG_SPEC_LOW,HF_MISSING,hard_fail,soft_score,SP_IR_OUTLIER,SP_CE_SOFT,IR_proxy_threshold,Label,charge_V_end,take_off_V_end,hover_V_end,cruise_V_end,landing_V_end,standby_V_end,standby_t_end_h,landing_V_rel_global,cycle_label_3class,cycle_label_3name,battery_label_3class,battery_label_3name,file
40,143.12,142.83,0.003708,0.0037003,0.0142877,0.0128083,0.997923408845739,0.3917872303773384,False,False,False,False,80,True,False,0.385,GOOD,4.3001,3.4631,3.775,3.3432,3.0138,2.7997,0.755,-0.0598500000000004,1,good_not_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
41,143.13,142.95,0.0037081,0.0037036,0.0142892,0.0128245,0.9987864404951322,0.3907979278332006,False,False,False,False,80,True,False,0.385,GOOD,4.3,3.4693,3.7779,3.3447,3.016,2.8,0.758,-0.0576500000000002,1,good_not_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
42,143.52,142.71,0.0037182,0.0036973,0.0143263,0.012813,0.9943790005916842,0.3875184259261206,False,False,False,False,80,True,False,0.385,GOOD,4.3002,3.4722,3.7809,3.3475,3.0174,2.7998,0.752,-0.0562500000000003,1,good_not_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
43,142.26,141.91,0.0036858,0.0036766,0.0142052,0.0127288,0.9975039340170384,0.3919226686337467,False,False,False,False,80,True,False,0.385,GOOD,4.3001,3.4623,3.7761,3.3396,3.0084,2.7997,0.732,-0.0652500000000002,1,good_not_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
44,141.77,141.77,0.0036729,0.0036731,0.0141591,0.0127079,1.000054452884642,0.3952985227298269,False,False,False,False,80,True,False,0.385,GOOD,4.3,3.4622,3.7737,3.3367,3.0053,2.8,0.728,-0.0683500000000001,1,good_not_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
45,141.71,141.1,0.0036714,0.0036555,0.0141502,0.0126485,0.9956692269978754,0.3940414979798486,False,False,False,False,80,True,False,0.385,GOOD,4.3,3.4566,3.7729,3.3341,2.9995,2.7998,0.711,-0.0741500000000003,1,good_not_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
46,141.01,140.49,0.0036534,0.0036399,0.014084,0.0125927,0.9963048119559864,0.3954111298629384,False,False,False,False,80,True,False,0.385,GOOD,4.3002,3.4513,3.7698,3.3314,2.9963,2.7998,0.696,-0.07735,1,good_not_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
47,140.1,139.71,0.0036296,0.0036196,0.0139953,0.0125137,0.9972448754683712,0.3986742197045241,False,False,False,False,80,True,False,0.385,GOOD,4.3,3.4492,3.7664,3.3254,2.9905,2.7998,0.677,-0.0831500000000002,1,good_not_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
48,140.46,139.92,0.003639,0.0036251,0.0140306,0.0125435,0.996180269304754,0.3954392669187836,False,False,False,False,80,True,False,0.385,GOOD,4.3,3.4503,3.771,3.3288,2.9928,2.8,0.682,-0.0808500000000003,1,good_not_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
49,139.49,139.37,0.0036138,0.0036109,0.0139372,0.0124823,0.9991975206154188,0.3998215636880591,False,False,False,False,80,True,False,0.385,GOOD,4.3,3.441,3.7671,3.3226,2.9845,2.8,0.668,-0.08915,1,good_not_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
50,139.49,138.78,0.0036138,0.0035954,0.0139352,0.0124301,0.994908406663346,0.3988840264045894,False,False,False,False,80,True,False,0.385,GOOD,4.3002,3.4418,3.7659,3.3209,2.9805,2.7997,0.653,-0.09315,1,good_not_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
51,138.85,138.72,0.0035973,0.003594,0.0138746,0.0124213,0.9990826453173214,0.4008269534556783,False,False,False,False,80,True,False,0.385,GOOD,4.3001,3.4393,3.7655,3.3194,2.9764,2.7998,0.652,-0.0972500000000002,1,good_not_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
52,137.85,137.37,0.0035714,0.0035589,0.0137782,0.0122914,0.996499971999776,0.4042192571320675,False,False,False,False,80,True,False,0.385,GOOD,4.3001,3.4319,3.7595,3.3104,2.9678,2.7997,0.618,-0.1058500000000002,1,good_not_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
