Cycle,cycles,hard_fail_cnt,soft_fail_cnt,both_fail_cnt,pct_hard_fail,pct_soft_fail,pct_both_fail
475,19,19,19,19,100.0,100.0,100.0
476,19,19,19,19,100.0,100.0,100.0
477,19,19,19,19,100.0,100.0,100.0
478,19,19,19,19,100.0,100.0,100.0
479,19,19,19,19,100.0,100.0,100.0
480,19,19,19,19,100.0,100.0,100.0
481,19,19,19,19,100.0,100.0,100.0
482,18,18,18,18,100.0,100.0,100.0
483,18,18,18,18,100.0,100.0,100.0
484,18,18,18,18,100.0,100.0,100.0
485,17,17,17,17,100.0,100.0,100.0
486,17,17,17,17,100.0,100.0,100.0
487,17,17,17,17,100.0,100.0,100.0
488,17,17,17,17,100.0,100.0,100.0
489,17,17,17,17,100.0,100.0,100.0
490,17,17,17,17,100.0,100.0,100.0
491,17,17,17,17,100.0,100.0,100.0
492,17,17,17,17,100.0,100.0,100.0
493,17,17,17,17,100.0,100.0,100.0
494,17,17,17,17,100.0,100.0,100.0
495,17,17,17,17,100.0,100.0,100.0
496,17,17,17,17,100.0,100.0,100.0
497,17,17,17,17,100.0,100.0,100.0
498,17,17,17,17,100.0,100.0,100.0
499,17,17,17,17,100.0,100.0,100.0
500,17,17,17,17,100.0,100.0,100.0
501,17,17,17,17,100.0,100.0,100.0
502,17,17,17,17,100.0,100.0,100.0
503,17,17,17,17,100.0,100.0,100.0
504,17,17,17,17,100.0,100.0,100.0
505,17,17,17,17,100.0,100.0,100.0
506,17,17,17,17,100.0,100.0,100.0
507,17,17,17,17,100.0,100.0,100.0
508,17,17,17,17,100.0,100.0,100.0
509,17,17,17,17,100.0,100.0,100.0
510,17,17,17,17,100.0,100.0,100.0
511,17,17,17,17,100.0,100.0,100.0
512,17,17,17,17,100.0,100.0,100.0
513,17,17,17,17,100.0,100.0,100.0
514,17,17,17,17,100.0,100.0,100.0
515,17,17,17,17,100.0,100.0,100.0
516,17,17,17,17,100.0,100.0,100.0
517,17,17,17,17,100.0,100.0,100.0
518,17,17,17,17,100.0,100.0,100.0
519,17,17,17,17,100.0,100.0,100.0
520,17,17,17,17,100.0,100.0,100.0
521,17,17,17,17,100.0,100.0,100.0
522,17,17,17,17,100.0,100.0,100.0
523,17,17,17,17,100.0,100.0,100.0
524,17,17,17,17,100.0,100.0,100.0
525,17,17,17,17,100.0,100.0,100.0
526,17,17,17,17,100.0,100.0,100.0
527,17,17,17,17,100.0,100.0,100.0
528,17,17,17,17,100.0,100.0,100.0
529,17,17,17,17,100.0,100.0,100.0
530,17,17,17,17,100.0,100.0,100.0
